iso,region,d_obs,d_pred,d_itn,years
NGA,Ekiti,0.013465611022239976,-0.09606678911389918,-0.041100000000000025,7
NGA,Enugu,0.091351468547234,-0.0598616795995586,-0.041100000000000025,7
NGA,Gombe,-0.040173956638753006,-0.0886751557399455,-0.041100000000000025,7
NGA,Imo,0.219161574134424,-0.0488762980794227,-0.041100000000000025,7
NGA,Jigawa,0.011393539600980995,-0.0948425917150687,-0.041100000000000025,7
NGA,Kaduna,-0.033277702805058984,-0.09274813188408187,-0.041100000000000025,7
NGA,Kano,-0.02246156303135599,-0.09335790197209859,-0.041100000000000025,7
NGA,Katsina,-0.050093229173785,-0.08215397386352438,-0.041100000000000025,7
NGA,Kebbi,-0.23858192940886597,-0.10521012859510726,-0.041100000000000025,7
NGA,Kogi,0.10832096306060301,-0.06973854619920569,-0.041100000000000025,7
NGA,Kwara,0.014445626120031002,-0.0962677087915051,-0.041100000000000025,7
NGA,Lagos,0.0838501731833281,-0.015428377150655904,-0.041100000000000025,7
NGA,Nassarawa,0.02021658380389496,-0.0986206361160626,-0.041100000000000025,7
NGA,Niger,-0.026535141894744874,-0.089302574104477,-0.041100000000000025,7
NGA,Ogun,0.11438005219723901,-0.0594460293936378,-0.041100000000000025,7
NGA,Ondo,-0.009476414268325017,-0.09412220142026609,-0.041100000000000025,7
NGA,Osun,-0.06489957880442399,-0.0892227528954633,-0.041100000000000025,7
NGA,Oyo,0.025170246364520976,-0.09814974805169861,-0.041100000000000025,7
NGA,Plateau,-0.054712715221043096,-0.0983327782425325,-0.041100000000000025,7
NGA,Rivers,0.12363582566398604,-0.0687703506110696,-0.041100000000000025,7
NGA,Sokoto,-0.241562396242658,-0.1069621920621463,-0.041100000000000025,7
NGA,Taraba,-0.023151929552786,-0.08439234108475377,-0.041100000000000025,7
NGA,Yobe,0.087360492739646,-0.0910386054923005,-0.041100000000000025,7
NGA,Zamfara,-0.18536117169203115,-0.10632545691186035,-0.041100000000000025,7
RWA,Eastern Province,-0.006139924131799299,-0.017493961694631598,0.07599999999999996,7
RWA,Kigali City,0.0013058489103690007,-0.010876737011735301,0.07599999999999996,7
RWA,Southern Province,-0.012779786688850697,-0.019765652998179003,0.07599999999999996,7
