lat,lon,AIRS3STM_006_RelHumSurf_D
-87.5,7.5,86.678444
-87.5,8.5,86.98713
-87.5,9.5,86.535515
-87.5,10.5,86.1847
-87.5,11.5,87.16699
-87.5,12.5,85.52054
-87.5,13.5,87.217834
-87.5,14.5,87.584885
-87.5,15.5,86.41406
-87.5,16.5,86.32386
-87.5,17.5,87.44669
-87.5,18.5,86.0351
-87.5,19.5,87.490944
-87.5,20.5,87.393654
-87.5,21.5,86.73167
-87.5,22.5,87.910835
-87.5,23.5,88.4079
-87.5,24.5,87.81514
-87.5,25.5,87.70017
-87.5,26.5,87.43585
-87.5,27.5,88.59201
-87.5,28.5,87.42078
-87.5,29.5,87.542534
-87.5,30.5,88.12143
-87.5,31.5,87.70333
-87.5,32.5,88.73133
-87.5,33.5,88.35188
-87.5,34.5,87.13839
-87.5,35.5,87.511284
-87.5,36.5,87.75803
-87.5,37.5,87.86008
-87.5,38.5,87.753525
-87.5,39.5,88.21875
-87.5,40.5,88.42209
-87.5,41.5,87.81063
-87.5,42.5,88.17758
-87.5,43.5,88.816124
-87.5,44.5,89.03418
-87.5,45.5,87.93044
-87.5,46.5,87.06465
-87.5,47.5,89.398674
-87.5,48.5,87.35237
-87.5,49.5,88.48689
