HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
3,10,2,1,11,24, , , ,1,5,6,90, , , ,2,2,2,2,1,1.0056410166204302,-0.699598887262264,1, , ,-0.6117802045600129,2
3,11,1,1,12,24, , , ,1,1,2,90, , , ,3,2,2,1,1,1.0056410166204302,-0.38143603968560136,3, , ,-0.12152846092410191,3
3,11,2,1,12,24, , , ,1,4,5,90, , , ,3,2,2,1,1,1.0056410166204302,-0.38143603968560136,3, , ,-0.12152846092410191,3
3,11,3,1,12,24, , , ,1,3,6,90, , , ,3,2,2,1,1,1.0056410166204302,-0.38143603968560136,3, , ,-0.12152846092410191,3
3,12,1,1,12,24, , , ,1,1,90, , , , ,3,2,2,3,1,1.0056410166204302,0.9374309546127699,5, , ,1.910691355133567,5
3,12,2,1,12,24, , , ,1,2,90, , , , ,3,2,2,3,1,1.0056410166204302,0.9374309546127699,5, , ,1.910691355133567,5
3,12,3,1,12,24, , , ,2, , , , , , ,3,2,2,3,1,1.0056410166204302,0.9374309546127699,5, , ,1.910691355133567,5
3,13,1,1,12,25, , , ,1,1,7,6,90, , ,2,2,2,2,1,1.0056410166204302,-0.44415796648181627,3, , ,-0.2181756157074369,3
3,13,2,1,12,25, , , ,1,3,90, , , , ,2,2,2,2,1,1.0056410166204302,-0.44415796648181627,3, , ,-0.2181756157074369,3
3,14,1,1,12,95, , , ,1,1,2,90, , , ,3,2,2,3,1,1.0056410166204302,0.09677300697887997,4, , ,0.61533576044995,4
3,14,2,1,12,95, , , ,1,3,90, , , , ,3,2,2,3,1,1.0056410166204302,0.09677300697887997,4, , ,0.61533576044995,4
3,14,3,1,12,95, , , ,1,4,90, , , , ,3,2,2,3,1,1.0056410166204302,0.09677300697887997,4, , ,0.61533576044995,4
3,15,1,1,12,3, , , ,1,1,2,90, , , ,2,2,2,2,1,1.0056410166204302,-0.07772945149153346,4, , ,0.34644787745078975,4
3,15,2,1,12,3, , , ,1,6,5,90, , , ,2,2,2,2,1,1.0056410166204302,-0.07772945149153346,4, , ,0.34644787745078975,4
3,16,1,1,12,9, , , ,1,1,90, , , , ,2,2,2,1,1,1.0056410166204302,-0.8109986434267713,1, , ,-0.7834342022415163,1
