HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
11,5,1,1,18,0, , , ,1,4,90, , ,1,1,0,3,1.1227573708938776,1.279827775056575,5,0.2884434593478061,4, , 
11,8,1,1,98,24,2,2, ,1,1,2,90, ,1,1,0,3,1.1227573708938776,1.5782526122664546,5,1.195311892908242,5, , 
11,13,1,9,98,2,2,2, ,2, , , , ,1,1,0,2,1.1227573708938776,1.6564791247442527,5,1.4330305610221312,5, , 
11,14,1,1,98,95,8,2, ,2, , , , ,1,1,0,3,1.1227573708938776,0.8621120972144458,4,-0.9809319920390074,1, , 
11,15,1,2,98,95,8,2, ,2, , , , ,1,1,0,3,1.1227573708938776,1.3725678820596072,5,0.5702667698751337,4, , 
11,16,1,1,98,24,1,2, ,1,1,2,90, ,1,1,0,3,1.1227573708938776,1.1039638912009424,5,-0.24598057305887738,3, , 
12,4,1,1,98,12,2,2, ,2, , , , ,2,1,0,3,1.0820856604423434,1.4725108056245648,5,0.8739783623357191,4, , 
12,4,2,1,98,8,1,2, ,2, , , , ,2,1,0,3,1.0820856604423434,1.4725108056245648,5,0.8739783623357191,4, , 
12,5,1,1,98,95,2,2, ,2, , , , ,1,1,0,3,1.0820856604423434,1.4997387107732987,5,0.9567198925723547,5, , 
12,6,1,1,13,95, , , ,2, , , , ,1,1,0,3,1.0820856604423434,1.3848619134222429,5,0.6076264919016727,4, , 
12,9,1,1,98,12,2,1,6,2, , , , ,2,1,0,4,1.0820856604423434,1.503645844891711,5,0.9685930886199849,5, , 
12,9,2,1,98,12,2,1,6,2, , , , ,2,1,0,4,1.0820856604423434,1.503645844891711,5,0.9685930886199849,5, , 
12,10,1,1,98,24,8,2, ,1,1,2,4,90,1,1,0,4,1.0820856604423434,1.4031366650088342,5,0.6631607279256756,4, , 
12,11,1,1,14,13, , , ,2, , , , ,1,1,0,4,1.0820856604423434,1.4698366919833814,5,0.8658521310487529,4, , 
